Aaron Finch,2014,32,1186,880,29,40.9,134.8,111,9,1,126,40,39.3
Aaron Finch,2014,32,1186,880,29,40.9,134.8,111,9,1,126,40,39.3
Aaron Finch,2015,49,1469,1134,45,32.6,129.5,89,12,0,147,55,41.2
Aaron Finch,2016,44,1057,856,40,26.4,123.5,89,8,0,100,38,41.6
Aaron Finch,2018,57,1902,1255,53,35.9,151.6,114,17,1,185,81,34.7
Aaron Finch,2020,46,1594,1024,38,41.9,155.7,131,8,3,142,76,31.6
Abdul Samad,2020,,,,,,,,,,,,
Abhijeet Tomar,2022,,,,,,,,,,,,
Abhimanyu Mithun,2015,1,2,2,1,2,100,2,0,0,0,0,50
Abhimanyu Mithun,2016,,,,,,,,,,,,
Abhinav Sadarangani,2022,,,,,,,,,,,,
Abhishek Nayar,2013,13,106,116,10,10.6,91.4,24,0,0,11,1,46.6
Abhishek Nayar,2014,13,111,122,9,12.3,91,25,0,0,7,1,37.7
Abhishek Sharma,2018,,,,,,,,,,,,
Abhishek Sharma,2022,20,282,210,16,17.6,134.3,47,0,0,24,12,34.8
Abu Nechim Ahmed,2014,,,,,,,,,,,,
Adam Milne,2015,,,,,,,,,,,,
Adam Milne,2021,11,83,63,5,16.6,131.7,16,0,0,8,2,34.9
Adam Milne,2022,9,36,29,4,9,124.1,15,0,0,1,2,34.5
Adam Zampa,2016,4,15,17,3,5,88.2,10,0,0,1,1,64.7
Aditya Garhwal,2015,,,,,,,,,,,,
Aditya Tare,2014,5,123,84,5,24.6,146.4,59,1,0,14,5,40.5
Aditya Tare,2016,15,184,161,12,15.3,114.3,37,0,0,20,5,45.3
Aditya Tare,2017,4,22,32,4,5.5,68.8,8,0,0,2,0,56.2
Aditya Tare,2018,5,26,38,5,5.2,68.4,18,0,0,4,0,68.4
Agnivesh Ayachi,2019,,,,,,,,,,,,
Aiden Blizzard,2015,14,389,282,10,38.9,137.9,80,3,0,34,14,32.6
Aiden Markram,2022,6,146,119,5,29.2,122.7,42,0,0,12,4,30.3
Ajantha Mendis,2013,,,,,,,,,,,,
Ajinkya Rahane,2018,30,862,702,26,33.2,122.8,74,8,0,89,18,35
Ajinkya Rahane,2022,9,121,115,9,13.4,105.2,60,1,0,13,2,44.3
Akash Deep,2022,3,11,7,3,3.7,157.1,6,0,0,2,0,42.9
Akash Singh,2020,,,,,,,,,,,,
Akash Singh,2021,,,,,,,,,,,,
Akhil Arvind Herwadkar,2016,,,,,,,,,,,,
Akila Dananjaya,2013,,,,,,,,,,,,
Akila Dhananjaya,2018,,,,,,,,,,,,
Akshar Rajesh Patel,2014,,,,,,,,,,,,
Akshay Karnewar,2016,,,,,,,,,,,,
Akshay Wakhare,2015,,,,,,,,,,,,
Akshdeep Nath,2016,,,,,,,,,,,,
Akshdeep Nath,2017,3,20,27,3,6.7,74.1,12,0,0,1,0,48.1
Akshdeep Nath,2018,4,20,28,4,5,71.4,12,0,0,1,0,50
Akshdeep Nath,2019,2,9,14,2,4.5,64.3,9,0,0,1,0,64.3
Albie Morkel,2014,33,296,249,22,13.5,118.9,51,1,0,19,15,42.2
Albie Morkel,2015,23,226,214,16,14.1,105.6,51,1,0,13,12,46.7
Alex Carey,2020,33,1112,826,31,35.9,134.6,100,7,1,112,32,34.4
Alex Hales,2022,78,2313,1471,70,33,157.2,110,12,2,258,104,36.4
Alzarri Joseph,2022,6,47,46,3,15.7,102.2,21,0,0,1,3,43.5
Aman Khan,2022,,,,,,,,,,,,
Ambati Rayudu,2018,17,425,356,16,26.6,119.4,65,3,0,35,15,36.2
Ambati Rayudu,2022,27,679,488,21,32.3,139.1,72,4,0,51,34,32.4
Amit Mishra,2014,11,105,116,9,11.7,90.5,30,0,0,10,0,42.2
Amit Mishra,2014,11,105,116,9,11.7,90.5,30,0,0,10,0,42.2
Amit Mishra,2015,8,93,103,7,13.3,90.3,30,0,0,9,0,42.7
Amit Mishra,2016,6,12,19,3,4,63.2,4,0,0,0,0,42.1
Amit Mishra,2018,8,53,66,3,17.7,80.3,13,0,0,2,2,48.5
Amit Paunikar,2014,,,,,,,,,,,,
Andre Russell,2014,28,621,359,18,34.5,173,77,1,0,49,40,31.8
Andrew Tye,2015,4,37,41,3,12.3,90.2,16,0,0,4,1,58.5
Andrew Tye,2016,6,40,51,3,13.3,78.4,16,0,0,4,1,60.8
Andrew Tye,2018,12,146,107,8,18.2,136.4,42,0,0,8,8,36.4
Andrew Tye,2020,26,155,121,18,8.6,128.1,38,0,0,10,8,43.8
Aneeshwar Gautam,2022,,,,,,,,,,,,
Angelo Mathews,2015,10,172,139,7,24.6,123.7,40,0,0,5,10,30.9
Angelo Mathews,2017,10,144,104,7,20.6,138.5,28,0,0,12,6,32.7
Aniket Choudhary,2017,,,,,,,,,,,,
Aniket Choudhary,2018,3,25,20,1,25,125,15,0,0,1,1,20
Anirudha Ashok Joshi,2018,,,,,,,,,,,,
Anirudha Ashok Joshi,2020,,,,,,,,,,,,
Ankeet Bawane,2017,,,,,,,,,,,,
Ankit Nagendra Sharma,2014,,,,,,,,,,,,
Ankit Sharma,2016,4,41,36,3,13.7,113.9,30,0,0,5,1,50
Ankit Sharma,2018,2,28,18,1,28,155.6,25,0,0,2,1,22.2
Ankit Singh Rajpoot,2016,,,,,,,,,,,,
Ankit Singh Rajpoot,2018,1,4,7,1,4,57.1,4,0,0,1,0,85.7
Ankit Singh Rajpoot,2022,2,9,10,1,9,90,7,0,0,0,1,60
Ankush Bains,2014,,,,,,,,,,,,
Ankush Bains,2015,,,,,,,,,,,,
Ankush Bains,2016,,,,,,,,,,,,
Ankush Bains,2019,,,,,,,,,,,,
Anmolpreet Singh,2019,,,,,,,,,,,,
Anmolpreet Singh,2022,3,33,39,3,11,84.6,16,0,0,4,1,61.5
Anrich Nortje,2019,,,,,,,,,,,,
Ansh Patel,2022,,,,,,,,,,,,
Anuj Rawat,2020,,,,,,,,,,,,
Anuj Rawat,2022,5,100,76,2,50,131.6,34,0,0,10,5,44.7
Anukul Roy,2018,,,,,,,,,,,,
Anukul Roy,2022,7,113,66,4,28.2,171.2,39,0,0,2,10,27.3
Anunay Singh,2022,,,,,,,,,,,,
Anureet Singh,2014,,,,,,,,,,,,
Anureet Singh,2018,1,15,12,1,15,125,15,0,0,2,0,25
Apoorv Vijay Wankhade,2014,,,,,,,,,,,,
Apoorv Vijay Wankhade,2018,,,,,,,,,,,,
Arjun Tendulkar,2021,,,,,,,,,,,,
Arjun Tendulkar,2022,1,3,7,1,3,42.9,3,0,0,0,0,57.1
Armaan Jaffer,2016,,,,,,,,,,,,
Arshdeep Singh,2019,,,,,,,,,,,,
Aryaman Vikram Birla,2018,,,,,,,,,,,,
Aryan Juyal,2022,,,,,,,,,,,,
Asela Gunarathna,2017,,,,,,,,,,,,
Ashish Nehra,2014,6,12,20,4,3,60,9,0,0,1,0,60
Ashish Nehra,2016,4,1,7,1,1,14.3,1,0,0,0,0,85.7
Ashish Reddy,2014,17,163,123,12,13.6,132.5,36,0,0,11,6,30.9
Ashok Dinda,2014,6,11,16,3,3.7,68.8,6,0,0,1,0,50
