Aaron Finch,2014,10,17,182,5,10.71,36.4,20.4,0,1/11,9,12,24.5
Aaron Finch,2015,8,11,121,3,11,40.3,22,0,1/11,7,8,25.8
Aaron Finch,2016,8,8.4,69,1,7.96,69,52,0,1/9,6,0,21.2
Aaron Finch,2018,3,4,30,1,7.5,30,24,0,1/17,1,1,25
Aaron Finch,2020,2,2,19,0,9.5,-,-,0,0/8,0,1,8.3
Abdul Samad,2020,,,,,,,,,,,,
Abhijeet Tomar,2022,,,,,,,,,,,,
Abhimanyu Mithun,2015,1,4,37,1,9.25,37,24,0,1/37,6,0,41.7
Abhimanyu Mithun,2016,,,,,,,,,,,,
Abhinav Sadarangani,2022,,,,,,,,,,,,
Abhishek Nayar,2013,7,11.1,111,2,9.94,55.5,33.5,0,1/22,8,6,25.4
Abhishek Nayar,2014,4,9,75,2,8.33,37.5,27,0,1/15,4,2,27.8
Abhishek Sharma,2018,,,,,,,,,,,,
Abhishek Sharma,2022,16,31.2,218,11,6.96,19.8,17.1,0,3/10,12,7,39.4
Abu Nechim Ahmed,2014,3,9,62,3,6.89,20.7,18,0,2/27,6,2,50
Adam Milne,2015,,,,,,,,,,,,
Adam Milne,2021,15,53.1,385,18,7.24,21.4,17.7,0,3/12,39,8,47.6
Adam Milne,2022,28,95.2,695,28,7.29,24.8,20.4,0,4/38,69,23,51.9
Adam Zampa,2016,12,45,314,11,6.98,28.5,24.5,0,2/26,13,10,30.4
Aditya Garhwal,2015,,,,,,,,,,,,
Aditya Tare,2014,,,,,,,,,,,,
Aditya Tare,2016,,,,,,,,,,,,
Aditya Tare,2017,,,,,,,,,,,,
Aditya Tare,2018,,,,,,,,,,,,
Agnivesh Ayachi,2019,,,,,,,,,,,,
Aiden Blizzard,2015,,,,,,,,,,,,
Aiden Markram,2022,2,4,23,0,5.75,-,-,0,0/5,2,0,41.7
Ajantha Mendis,2013,,,,,,,,,,,,
Ajinkya Rahane,2018,,,,,,,,,,,,
Ajinkya Rahane,2022,,,,,,,,,,,,
Akash Deep,2022,5,18,139,6,7.72,23.2,18,0,4/35,16,4,52.8
Akash Singh,2020,,,,,,,,,,,,
Akash Singh,2021,,,,,,,,,,,,
Akhil Arvind Herwadkar,2016,,,,,,,,,,,,
Akila Dananjaya,2013,,,,,,,,,,,,
Akila Dhananjaya,2018,,,,,,,,,,,,
Akshar Rajesh Patel,2014,,,,,,,,,,,,
Akshay Karnewar,2016,,,,,,,,,,,,
Akshay Wakhare,2015,,,,,,,,,,,,
Akshdeep Nath,2016,,,,,,,,,,,,
Akshdeep Nath,2017,,,,,,,,,,,,
Akshdeep Nath,2018,,,,,,,,,,,,
Akshdeep Nath,2019,,,,,,,,,,,,
Albie Morkel,2014,43,131.3,965,40,7.34,24.1,19.7,0,4/25,101,25,48
Albie Morkel,2015,31,86.3,631,26,7.29,24.3,20,0,4/25,73,11,47.8
Alex Carey,2020,,,,,,,,,,,,
Alex Hales,2022,,,,,,,,,,,,
Alzarri Joseph,2022,15,52.4,432,12,8.2,36,26.3,0,3/27,37,24,57.3
Aman Khan,2022,,,,,,,,,,,,
Ambati Rayudu,2018,,,,,,,,,,,,
Ambati Rayudu,2022,,,,,,,,,,,,
Amit Mishra,2014,37,125,876,36,7.01,24.3,20.8,0,4/19,43,41,40.1
Amit Mishra,2014,37,125,876,36,7.01,24.3,20.8,0,4/19,43,41,40.1
Amit Mishra,2015,33,115.3,839,30,7.26,28,23.1,0,4/19,42,43,39.7
Amit Mishra,2016,22,77.4,650,16,8.37,40.6,29.1,0,2/23,35,32,33.7
Amit Mishra,2018,28,84.5,687,23,8.1,29.9,22.1,0,4/11,47,32,36.7
Amit Paunikar,2014,,,,,,,,,,,,
Andre Russell,2014,31,92.4,840,23,9.06,36.5,24.2,0,4/35,81,31,37.4
Andrew Tye,2015,7,25,176,7,7.04,25.1,21.4,0,2/12,15,6,45.3
Andrew Tye,2016,16,58.4,410,21,6.99,19.5,16.8,0,4/18,28,12,42.3
Andrew Tye,2018,39,147.1,1106,61,7.52,18.1,14.5,2,5/17,64,39,37.5
Andrew Tye,2020,61,226.4,1857,76,8.19,24.4,17.9,0,4/16,167,60,39.9
Aneeshwar Gautam,2022,,,,,,,,,,,,
Angelo Mathews,2015,10,31,240,5,7.74,48,37.2,0,3/14,19,4,29
Angelo Mathews,2017,10,30,246,7,8.2,35.1,25.7,0,2/15,29,6,38.3
Aniket Choudhary,2017,,,,,,,,,,,,
Aniket Choudhary,2018,5,16.5,144,5,8.55,28.8,20.2,0,2/17,13,6,48.5
Anirudha Ashok Joshi,2018,,,,,,,,,,,,
Anirudha Ashok Joshi,2020,,,,,,,,,,,,
Ankeet Bawane,2017,,,,,,,,,,,,
Ankit Nagendra Sharma,2014,,,,,,,,,,,,
Ankit Sharma,2016,6,22,157,7,7.14,22.4,18.9,0,2/20,11,5,40.9
